Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2015,"Cum 2015, flag",5-year weekly average§,"5-year weekly average§, flag",Total cases reported  2014,"Total cases reported  2014, flag",Total cases reported 2013,"Total cases reported 2013, flag",Total cases reported 2012,"Total cases reported 2012, flag",Total cases reported 2011,"Total cases reported 2011, flag",Total cases reported 2010,"Total cases reported 2010, flag",States reporting cases during current week (No.) 
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), serotype b",2015,5,,-,1,,1,,30,,31,,30,,14,,23,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), nonserotype b",2015,5,2,,21,,5,,181,,222,,205,,145,,200,,"ME (1 ), TN (1 )"
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), unknown serotype",2015,5,2,,19,,5,,229,,185,,210,,226,,223,,"PA (1 ), FL (1 )"
Hansen disease††,2015,5,,-,,-,2,,56,,81,,82,,82,,98,,
"Hantavirus infection (non-HPS)¶,††",2015,5,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
Hantavirus Pulmonary Syndrome (HPS)††,2015,5,,-,,-,0,,25,,21,,30,,23,,20,,
"Hemolytic uremic syndrome, postdiarrheal††",2015,5,3,,10,,1,,222,,329,,274,,290,,266,,"NC (1 ), FL (1 ), CA (1 )"
"Hepatitis B, virus infection perinatal",2015,5,,-,,-,1,,37,,48,,40,,,NP,,NP,
"Influenza-associated pediatric mortality**,††",2015,5,11,,54,,5,,130,,160,,52,,118,,61,,"NY (1 ), WI (1 ), MN (1 ), MD (1 ), VA (1 ), TN (1 ), CO (1 ), NV (3 ), SC (1 )"
Leptospirosis††,2015,5,,-,,-,0,,23,,,NN,,NN,,NN,,NN,
Listeriosis,2015,5,5,,26,,8,,679,,735,,727,,870,,821,,"OH (1 ), MO (1 ), NC (2 ), MT (1 )"
Measles***,2015,5,6,,91,,3,,645,,187,,55,,220,,63,,CA (6 )
"Meningococcal disease, invasive†††, A, C, Y, and W-135",2015,5,,-,4,,4,,104,,142,,161,,257,,280,,
"Meningococcal disease, invasive†††, serogroup B",2015,5,1,,4,,3,,67,,99,,110,,159,,135,,NC (1 )
"Botulism, infant",2015,6,,-,6,,2,,111,,136,,123,,97,,80,,
"Meningococcal disease, invasive†††, other serogroup",2015,5,,-,1,,0,,20,,17,,20,,20,,12,,
"Meningococcal disease, invasive†††, unknown serogroup",2015,5,3,,17,,8,,210,,298,,260,,323,,406,,"FL (1 ), TX (1 ), OR (1 )"
Novel influenza A virus infections§§§,2015,5,,-,1,,31,,3,,21,,313,,14,,4,,
Plague,2015,5,,-,,-,,-,5,,4,,4,,3,,2,,
"Poliomyelitis, paralytic",2015,5,,-,,-,,-,,-,1,,,-,,-,,-,
"Polio virus Infection, nonparalytic,††",2015,5,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis††,2015,5,,-,,-,,-,7,,6,,2,,2,,4,,
"Q fever, total††",2015,5,1,,4,,2,,144,,170,,135,,134,,131,,
"Q fever, acute††",2015,5,,-,3,,2,,115,,137,,113,,110,,106,,
"Q fever, chronic††",2015,5,1,,1,,0,,29,,33,,22,,24,,25,,NY (1 )
"Rabies, human",2015,5,,-,,-,,-,1,,2,,1,,6,,2,,
SARS-CoV††,2015,5,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox††,2015,5,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome††,2015,5,,-,7,,5,,204,,224,,194,,168,,142,,
"Syphilis, congenital (age <1 yr)††,¶¶¶",2015,5,,-,1,,8,,352,,348,,322,,360,,377,,
Toxic-shock syndrome (staphylococcal)††,2015,5,2,,3,,1,,51,,71,,65,,78,,82,,"NY (1 ), NE (1 )"
Trichinellosis††,2015,5,,-,,-,0,,16,,22,,18,,15,,7,,
Tularemia,2015,5,,-,1,,0,,158,,203,,149,,166,,124,,
Typhoid fever,2015,5,2,,11,,7,,299,,338,,354,,390,,467,,"FL (1 ), TX (1 )"
Vancomycin-intermediate Staphylococcus aureus††,2015,5,,-,13,,2,,196,,248,,134,,82,,91,,
Vancomycin-resistant Staphylococcus aureus††,2015,5,,-,,-,0,,,-,,-,2,,,-,2,,
"Viral hemorrhagic fever, Crimean-Congo hemorrhagic fever††,****:",2015,5,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Ebola hemorrhagic fever††,****:",2015,5,,-,,-,,-,6,,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Guanarito hemorrhagic fever††,****:",2015,5,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Junin hemorrhagic fever††,****:",2015,5,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Lassa fever††,****:",2015,5,,-,,-,,-,1,,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Lujo virus††,****:",2015,5,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Machupo hemorrhagic fever††,****:",2015,5,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Marburg fever††,****:",2015,5,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Sabia-associated hemorrhagic fever††,****:",2015,5,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Yellow fever,2015,5,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2015,6,,-,,-,,-,,-,,-,,-,1,,,-,
"Arboviral diseases, California serogroup virus disease**,††",2015,6,,-,,-,,-,84,,95,,81,,137,,75,,
"Arboviral diseases, Chikungunya virus neuroinvasive disease**,††",2015,6,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
"Arboviral diseases, Eastern equine encephalitis virus disease**,††",2015,6,,-,,-,,-,8,,8,,15,,4,,10,,
"Arboviral diseases, Powassan virus disease**,††",2015,6,,-,,-,,-,8,,12,,7,,16,,8,,
"Arboviral diseases, St. Louis encephalitis virus disease**,††",2015,6,,-,,-,0,,9,,1,,3,,6,,10,,
"Arboviral diseases, Western equine encephalitis virus disease**,††",2015,6,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2015,6,,-,9,,2,,140,,152,,168,,153,,112,,
"Botulism, foodborne",2015,6,,-,3,,0,,11,,4,,27,,24,,7,,
Leptospirosis††,2015,14,,-,3,,0,,26,,,NN,,NN,,NN,,NN,
"Botulism, other (wound and unspecified)",2015,6,,-,,-,0,,18,,12,,18,,32,,25,,
Brucellosis,2015,6,,-,,-,1,,91,,99,,114,,79,,115,,
Chancroid,2015,6,,-,1,,0,,17,,,-,15,,8,,24,,
Cholera,2015,6,,-,,-,0,,,-,14,,17,,40,,13,,
Cyclosporiasis††,2015,6,,-,,-,1,,379,,784,,123,,151,,179,,
Diphtheria,2015,6,,-,,-,,-,1,,,-,1,,,-,,-,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), serotype b",2015,6,,-,1,,1,,30,,31,,30,,14,,23,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), nonserotype b",2015,6,1,,23,,5,,181,,222,,205,,145,,200,,NM (1 )
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), unknown serotype",2015,6,2,,20,,5,,229,,185,,210,,226,,223,,"FL (1 ), OK (1 )"
Hansen disease††,2015,6,,-,3,,1,,56,,81,,82,,82,,98,,
"Hantavirus infection (non-HPS)¶,††",2015,6,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
Hantavirus Pulmonary Syndrome (HPS)††,2015,6,,-,,-,0,,25,,21,,30,,23,,20,,
"Hemolytic uremic syndrome, postdiarrheal††",2015,6,,-,10,,2,,226,,329,,274,,290,,266,,
"Hepatitis B, virus infection perinatal",2015,6,,-,,-,1,,36,,48,,40,,,NP,,NP,
"Influenza-associated pediatric mortality**,††",2015,6,6,,60,,6,,130,,160,,52,,118,,61,,"NYC (1 ), PA (1 ), OH (1 ), FL (1 ), TX (1 ), UT (1 )"
Leptospirosis††,2015,6,,-,,-,0,,23,,,NN,,NN,,NN,,NN,
Listeriosis,2015,6,2,,31,,8,,681,,735,,727,,870,,821,,"MD (1 ), TX (1 )"
Measles***,2015,6,,-,93,,3,,646,,187,,55,,220,,63,,
"Meningococcal disease, invasive†††, A, C, Y, and W-135",2015,6,1,,5,,4,,104,,142,,161,,257,,280,,NY (1 )
"Meningococcal disease, invasive†††, serogroup B",2015,6,,-,7,,3,,68,,99,,110,,159,,135,,
"Meningococcal disease, invasive†††, other serogroup",2015,6,,-,1,,0,,19,,17,,20,,20,,12,,
"Meningococcal disease, invasive†††, unknown serogroup",2015,6,,-,16,,7,,208,,298,,260,,323,,406,,
Novel influenza A virus infections§§§,2015,6,,-,1,,29,,3,,21,,313,,14,,4,,
Plague,2015,6,,-,,-,,-,5,,4,,4,,3,,2,,
"Poliomyelitis, paralytic",2015,6,,-,,-,,-,,-,1,,,-,,-,,-,
"Polio virus Infection, nonparalytic,††",2015,6,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis††,2015,6,,-,,-,,-,7,,6,,2,,2,,4,,
"Q fever, total††",2015,6,,-,4,,2,,145,,170,,135,,134,,131,,
"Q fever, acute††",2015,6,,-,3,,2,,116,,137,,113,,110,,106,,
"Q fever, chronic††",2015,6,,-,1,,0,,29,,33,,22,,24,,25,,
"Rabies, human",2015,6,,-,,-,,-,1,,2,,1,,6,,2,,
SARS-CoV††,2015,6,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox††,2015,6,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome††,2015,6,,-,8,,5,,204,,224,,194,,168,,142,,
"Syphilis, congenital (age <1 yr)††,¶¶¶",2015,6,,-,3,,8,,358,,348,,322,,360,,377,,
Toxic-shock syndrome (staphylococcal)††,2015,6,1,,5,,2,,51,,71,,65,,78,,82,,PA (1 )
Trichinellosis††,2015,6,,-,,-,0,,16,,22,,18,,15,,7,,
Tularemia,2015,6,,-,2,,0,,158,,203,,149,,166,,124,,
Typhoid fever,2015,6,6,,20,,7,,299,,338,,354,,390,,467,,"NY (1 ), NYC (3 ), OK (2 )"
Vancomycin-intermediate Staphylococcus aureus††,2015,6,,-,13,,2,,196,,248,,134,,82,,91,,
Vancomycin-resistant Staphylococcus aureus††,2015,6,,-,,-,,-,,-,,-,2,,,-,2,,
"Viral hemorrhagic fever, Crimean-Congo hemorrhagic fever††,****:",2015,6,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Ebola hemorrhagic fever††,****:",2015,6,,-,,-,,-,6,,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Guanarito hemorrhagic fever††,****:",2015,6,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Junin hemorrhagic fever††,****:",2015,6,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Lassa fever††,****:",2015,6,,-,,-,,-,1,,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Lujo virus††,****:",2015,6,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Machupo hemorrhagic fever††,****:",2015,6,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Marburg fever††,****:",2015,6,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Sabia-associated hemorrhagic fever††,****:",2015,6,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Yellow fever,2015,6,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2015,7,,-,,-,,-,,-,,-,,-,1,,,-,
"Arboviral diseases, California serogroup virus disease**,††",2015,7,,-,,-,0,,85,,95,,81,,137,,75,,
"Poliomyelitis, paralytic",2015,16,,-,,-,,-,,-,1,,,-,,-,,-,
"Arboviral diseases, Chikungunya virus neuroinvasive disease**,††",2015,7,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
"Arboviral diseases, Eastern equine encephalitis virus disease**,††",2015,7,,-,,-,,-,8,,8,,15,,4,,10,,
"Arboviral diseases, Powassan virus disease**,††",2015,7,,-,,-,,-,8,,12,,7,,16,,8,,
"Arboviral diseases, St. Louis encephalitis virus disease**,††",2015,7,,-,,-,0,,9,,1,,3,,6,,10,,
"Arboviral diseases, Western equine encephalitis virus disease**,††",2015,7,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2015,7,,-,13,,2,,139,,152,,168,,153,,112,,
"Botulism, foodborne",2015,7,,-,5,,0,,11,,4,,27,,24,,7,,
"Botulism, infant",2015,7,,-,8,,2,,110,,136,,123,,97,,80,,
"Botulism, other (wound and unspecified)",2015,7,,-,,-,0,,18,,12,,18,,32,,25,,
Brucellosis,2015,7,,-,1,,1,,93,,99,,114,,79,,115,,
Chancroid,2015,7,,-,2,,0,,17,,,-,15,,8,,24,,
Cholera,2015,7,,-,,-,0,,,-,14,,17,,40,,13,,
Cyclosporiasis††,2015,7,1,,1,,1,,379,,784,,123,,151,,179,,NYC (1 )
Diphtheria,2015,7,,-,,-,0,,1,,,-,1,,,-,,-,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), serotype b",2015,7,,-,1,,1,,30,,31,,30,,14,,23,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), nonserotype b",2015,7,,-,27,,6,,181,,222,,205,,145,,200,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), unknown serotype",2015,7,,-,21,,5,,227,,185,,210,,226,,223,,
Hansen disease††,2015,7,,-,5,,2,,56,,81,,82,,82,,98,,
"Hantavirus infection (non-HPS)¶,††",2015,7,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
Hantavirus Pulmonary Syndrome (HPS)††,2015,7,,-,,-,0,,25,,21,,30,,23,,20,,
"Hemolytic uremic syndrome, postdiarrheal††",2015,7,,-,14,,2,,226,,329,,274,,290,,266,,
"Hepatitis B, virus infection perinatal",2015,7,,-,,-,1,,36,,48,,40,,,NP,,NP,
"Influenza-associated pediatric mortality**,††",2015,7,6,,66,,5,,130,,160,,52,,118,,61,,"PA (1 ), TX (2 ), UT (1 ), WA (1 ), CA (1 )"
Leptospirosis††,2015,7,,-,,-,0,,23,,,NN,,NN,,NN,,NN,
Listeriosis,2015,7,4,,39,,8,,682,,735,,727,,870,,821,,"MD (1 ), FL (2 ), OR (1 )"
Measles***,2015,7,2,,98,,4,,648,,187,,55,,220,,63,,"NY (1 ), DC (1 )"
"Meningococcal disease, invasive†††, A, C, Y, and W-135",2015,7,,-,5,,4,,104,,142,,161,,257,,280,,
"Meningococcal disease, invasive†††, serogroup B",2015,7,1,,10,,3,,68,,99,,110,,159,,135,,OR (1 )
"Meningococcal disease, invasive†††, other serogroup",2015,7,,-,1,,0,,19,,17,,20,,20,,12,,
"Meningococcal disease, invasive†††, unknown serogroup",2015,7,1,,22,,7,,207,,298,,260,,323,,406,,MO (1 )
Novel influenza A virus infections§§§,2015,7,,-,1,,21,,3,,21,,313,,14,,4,,
Plague,2015,7,,-,,-,,-,5,,4,,4,,3,,2,,
"Poliomyelitis, paralytic",2015,7,,-,,-,,-,,-,1,,,-,,-,,-,
"Polio virus Infection, nonparalytic,††",2015,7,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis††,2015,7,,-,,-,0,,7,,6,,2,,2,,4,,
"Q fever, total††",2015,7,,-,5,,2,,150,,170,,135,,134,,131,,
"Q fever, acute††",2015,7,,-,4,,2,,119,,137,,113,,110,,106,,
"Q fever, chronic††",2015,7,,-,1,,0,,31,,33,,22,,24,,25,,
"Rabies, human",2015,7,,-,,-,,-,1,,2,,1,,6,,2,,
SARS-CoV††,2015,7,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox††,2015,7,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome††,2015,7,2,,10,,5,,204,,224,,194,,168,,142,,"ME (1 ), OH (1 )"
"Syphilis, congenital (age <1 yr)††,¶¶¶",2015,7,,-,4,,8,,366,,348,,322,,360,,377,,
Toxic-shock syndrome (staphylococcal)††,2015,7,1,,8,,1,,52,,71,,65,,78,,82,,CO (1 )
Trichinellosis††,2015,7,,-,,-,1,,16,,22,,18,,15,,7,,
Tularemia,2015,7,,-,3,,0,,168,,203,,149,,166,,124,,
Typhoid fever,2015,7,20,,43,,7,,300,,338,,354,,390,,467,,"NY (1 ), NC (1 ), OK (18 )"
Vancomycin-intermediate Staphylococcus aureus††,2015,7,3,,15,,2,,201,,248,,134,,82,,91,,"NY (1 ), MO (2 )"
Vancomycin-resistant Staphylococcus aureus††,2015,7,,-,,-,,-,,-,,-,2,,,-,2,,
"Viral hemorrhagic fever, Crimean-Congo hemorrhagic fever††,****:",2015,7,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Ebola hemorrhagic fever††,****:",2015,7,,-,,-,,-,6,,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Guanarito hemorrhagic fever††,****:",2015,7,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Junin hemorrhagic fever††,****:",2015,7,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Lassa fever††,****:",2015,7,,-,,-,,-,1,,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Lujo virus††,****:",2015,7,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Machupo hemorrhagic fever††,****:",2015,7,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Marburg fever††,****:",2015,7,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Sabia-associated hemorrhagic fever††,****:",2015,7,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Yellow fever,2015,7,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2015,8,,-,,-,,-,,-,,-,,-,1,,,-,
"Arboviral diseases, California serogroup virus disease**,††",2015,8,,-,,-,0,,85,,95,,81,,137,,75,,
"Arboviral diseases, Chikungunya virus neuroinvasive disease**,††",2015,8,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
"Arboviral diseases, Eastern equine encephalitis virus disease**,††",2015,8,,-,,-,0,,8,,8,,15,,4,,10,,
"Arboviral diseases, Powassan virus disease**,††",2015,8,,-,,-,,-,8,,12,,7,,16,,8,,
"Arboviral diseases, St. Louis encephalitis virus disease**,††",2015,8,,-,,-,,-,9,,1,,3,,6,,10,,
"Arboviral diseases, Western equine encephalitis virus disease**,††",2015,8,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2015,8,1,,15,,3,,140,,152,,168,,153,,112,,
"Botulism, foodborne",2015,8,,-,5,,0,,12,,4,,27,,24,,7,,
"Botulism, infant",2015,8,1,,10,,2,,110,,136,,123,,97,,80,,OH (1 )
"Botulism, other (wound and unspecified)",2015,8,,-,,-,0,,18,,12,,18,,32,,25,,
Brucellosis,2015,8,1,,2,,1,,92,,99,,114,,79,,115,,FL (1 )
Chancroid,2015,8,,-,2,,0,,14,,,-,15,,8,,24,,
Cholera,2015,8,,-,,-,0,,,-,14,,17,,40,,13,,
Cyclosporiasis††,2015,8,1,,3,,2,,380,,784,,123,,151,,179,,OH (1 )
Diphtheria,2015,8,,-,,-,0,,1,,,-,1,,,-,,-,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), serotype b",2015,8,1,,2,,1,,30,,31,,30,,14,,23,,OH (1 )
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), nonserotype b",2015,8,1,,31,,5,,188,,222,,205,,145,,200,,NM (1 )
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), unknown serotype",2015,8,6,,31,,5,,223,,185,,210,,226,,223,,"NC (1 ), FL (2 ), OK (1 ), ID (2 )"
Hansen disease††,2015,8,1,,7,,1,,73,,81,,82,,82,,98,,FL (1 )
"Hantavirus infection (non-HPS)¶,††",2015,8,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
Hantavirus Pulmonary Syndrome (HPS)††,2015,8,,-,1,,0,,25,,21,,30,,23,,20,,
"Hemolytic uremic syndrome, postdiarrheal††",2015,8,1,,15,,2,,228,,329,,274,,290,,266,,FL (1 )
"Hepatitis B, virus infection perinatal",2015,8,1,,1,,1,,36,,48,,40,,,NP,,NP,WI (1 )
"Influenza-associated pediatric mortality**,††",2015,8,6,,72,,5,,130,,160,,52,,118,,61,,"SC (1 ), TN (1 ), NV (1 ), CA (2 ), NY (1 )"
Leptospirosis††,2015,8,,-,,-,0,,25,,,NN,,NN,,NN,,NN,
Listeriosis,2015,8,7,,50,,9,,686,,735,,727,,870,,821,,"RI (1 ), NY (1 ), MD (1 ), NC (3 ), FL (1 )"
Measles***,2015,8,1,,105,,4,,647,,187,,55,,220,,63,,NE (1 )
"Meningococcal disease, invasive†††, A, C, Y, and W-135",2015,8,,-,7,,5,,105,,142,,161,,257,,280,,
"Meningococcal disease, invasive†††, serogroup B",2015,8,,-,12,,3,,69,,99,,110,,159,,135,,
"Meningococcal disease, invasive†††, other serogroup",2015,8,,-,1,,0,,20,,17,,20,,20,,12,,
"Meningococcal disease, invasive†††, unknown serogroup",2015,8,4,,30,,6,,200,,298,,260,,323,,406,,"NYC (1 ), FL (3 )"
Novel influenza A virus infections§§§,2015,8,,-,1,,21,,3,,21,,313,,14,,4,,
Plague,2015,8,,-,,-,,-,5,,4,,4,,3,,2,,
"Poliomyelitis, paralytic",2015,8,,-,,-,,-,,-,1,,,-,,-,,-,
"Polio virus Infection, nonparalytic,††",2015,8,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis††,2015,8,,-,,-,0,,7,,6,,2,,2,,4,,
"Q fever, total††",2015,8,,-,5,,2,,151,,170,,135,,134,,131,,
"Q fever, acute††",2015,8,,-,4,,2,,120,,137,,113,,110,,106,,
"Q fever, chronic††",2015,8,,-,1,,0,,31,,33,,22,,24,,25,,
"Rabies, human",2015,8,,-,,-,,-,1,,2,,1,,6,,2,,
SARS-CoV††,2015,8,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox††,2015,8,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome††,2015,8,,-,14,,5,,204,,224,,194,,168,,142,,
"Syphilis, congenital (age <1 yr)††,¶¶¶",2015,8,,-,4,,8,,379,,348,,322,,360,,377,,
Toxic-shock syndrome (staphylococcal)††,2015,8,,-,8,,1,,52,,71,,65,,78,,82,,
Measles***,2015,26,,-,177,,9,,667,,187,,55,,220,,63,,
Trichinellosis††,2015,8,,-,,-,1,,17,,22,,18,,15,,7,,
Tularemia,2015,8,,-,3,,0,,173,,203,,149,,166,,124,,
Typhoid fever,2015,8,11,,59,,6,,302,,338,,354,,390,,467,,"NY (1 ), NYC (1 ), OK (9 )"
Vancomycin-intermediate Staphylococcus aureus††,2015,8,,-,16,,2,,201,,248,,134,,82,,91,,
Vancomycin-resistant Staphylococcus aureus††,2015,8,,-,,-,,-,,-,,-,2,,,-,2,,
"Viral hemorrhagic fever, Crimean-Congo hemorrhagic fever††,****:",2015,8,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Ebola hemorrhagic fever††,****:",2015,8,,-,,-,,-,6,,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Guanarito hemorrhagic fever††,****:",2015,8,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Junin hemorrhagic fever††,****:",2015,8,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Lassa fever††,****:",2015,8,,-,,-,,-,1,,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Lujo virus††,****:",2015,8,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Machupo hemorrhagic fever††,****:",2015,8,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Marburg fever††,****:",2015,8,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Sabia-associated hemorrhagic fever††,****:",2015,8,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Yellow fever,2015,8,,-,,-,,-,,-,,-,,-,,-,,-,
Tularemia,2015,9,,-,4,,0,,174,,203,,149,,166,,124,,
Streptococcal toxic-shock syndrome††,2015,9,3,,19,,5,,207,,224,,194,,168,,142,,"ME (1 ), MI (1 ), ID (1 )"
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), serotype b",2015,9,,-,3,,1,,30,,31,,30,,14,,23,,
Vancomycin-intermediate Staphylococcus aureus††,2015,9,,-,16,,2,,202,,248,,134,,82,,91,,
"Botulism, foodborne",2015,9,,-,5,,0,,15,,4,,27,,24,,7,,
"Viral hemorrhagic fever, Sabia-associated hemorrhagic fever††,****:",2015,9,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Cholera,2015,9,,-,,-,0,,,-,14,,17,,40,,13,,
"Q fever, total††",2015,9,2,,9,,2,,151,,170,,135,,134,,131,,
Smallpox††,2015,9,,-,,-,,-,,-,,-,,-,,-,,-,
"Hantavirus infection (non-HPS)¶,††",2015,9,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
Toxic-shock syndrome (staphylococcal)††,2015,9,,-,8,,2,,53,,71,,65,,78,,82,,
Chancroid,2015,9,,-,2,,0,,14,,,-,15,,8,,24,,
Measles***,2015,9,4,,110,,4,,648,,187,,55,,220,,63,,WA (4 )
"Botulism, total",2015,9,1,,20,,3,,142,,152,,168,,153,,112,,
"Arboviral diseases, Powassan virus disease**,††",2015,9,,-,,-,,-,8,,12,,7,,16,,8,,
"Viral hemorrhagic fever, Lassa fever††,****:",2015,9,,-,,-,,-,1,,,NP,,NP,,NP,,NP,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), nonserotype b",2015,9,,-,35,,5,,195,,222,,205,,145,,200,,
Novel influenza A virus infections§§§,2015,9,,-,1,,13,,3,,21,,313,,14,,4,,
"Arboviral diseases, Chikungunya virus neuroinvasive disease**,††",2015,9,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
"Influenza-associated pediatric mortality**,††",2015,9,7,,79,,5,,130,,160,,52,,118,,61,,"VA (1 ), WV (1 ), TN (1 ), CO (1 ), AZ (1 ), NV (1 ), MN (1 )"
"Viral hemorrhagic fever, Guanarito hemorrhagic fever††,****:",2015,9,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Q fever, acute††",2015,9,2,,7,,2,,120,,137,,113,,110,,106,,OH (2 )
Brucellosis,2015,9,,-,2,,1,,95,,99,,114,,79,,115,,
"Poliomyelitis, paralytic",2015,9,,-,,-,,-,,-,1,,,-,,-,,-,
"Arboviral diseases, St. Louis encephalitis virus disease**,††",2015,9,,-,,-,,-,9,,1,,3,,6,,10,,
"Q fever, chronic††",2015,9,,-,2,,0,,31,,33,,22,,24,,25,,
"Viral hemorrhagic fever, Machupo hemorrhagic fever††,****:",2015,9,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
SARS-CoV††,2015,9,,-,,-,,-,,-,,-,,-,,-,,-,
"Meningococcal disease, invasive†††, A, C, Y, and W-135",2015,9,,-,7,,5,,105,,142,,161,,257,,280,,
"Botulism, infant",2015,9,1,,15,,2,,109,,136,,123,,97,,80,,OK (1 )
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), unknown serotype",2015,9,4,,33,,5,,219,,185,,210,,226,,223,,"NC (1 ), FL (1 ), AR (1 ), OK (1 )"
Diphtheria,2015,9,,-,,-,0,,1,,,-,1,,,-,,-,
