Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2018,"Cum 2018, flag",5-year weekly average§,"5-year weekly average§, flag",Total cases reported for pervious years  2017,"Total cases reported for pervious years 2017, flag",Total cases reported for pervious years 2016,"Total cases reported for pervious years 2016, flag",Total cases reported for pervious years 2015,"Total cases reported for pervious years 2015, flag",Total cases reported for pervious years 2014,"Total cases reported for pervious years 2014, flag",Total cases reported for pervious years 2013,"Total cases reported for pervious years 2013, flag",States reporting cases during current week (No.) 
"Viral hemorrhagic fevers***, Ebola virus ",2018,5,,-,,-,,-,,-,,-,,-,4,,,NP,
Streptococcal toxic-shock syndrome¶,2018,5,,-,18,,6,,322,,283,,335,,259,,224,,
"Rabies, human",2018,5,,-,,-,,-,2,,,-,2,,1,,2,,
Leptospirosis¶,2018,5,,-,2,,0,,55,,78,,40,,38,,,NN,
"Viral hemorrhagic fevers***, Lassa virus",2018,5,,-,,-,,-,,-,,-,1,,1,,,NP,
Yellow fever,2018,5,,-,,-,,-,,-,,-,,-,,-,,-,
"Poliomyelitis, paralytic",2018,5,,-,,-,,-,,-,,-,,-,,-,1,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,5,,-,,-,,-,32,,22,,7,,8,,12,,
Typhoid fever ,2018,5,2,,19,,7,,317,,376,,367,,349,,338,,"NY (1 ), TX (1 )"
"Viral hemorrhagic fevers***, Guanarito virus",2018,5,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,5,1,,5,,2,,146,,159,,135,,266,,233,,TX (1 )
"Meningococcal disease, Serogroup B",2018,5,,-,4,,2,,68,,86,,111,,89,,99,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,5,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever***, Sabia virus",2018,5,,-,,-,,-,,-,,-,,-,,NP,,NP,
Hantavirus pulmonary syndrome¶ ,2018,5,1,,2,,0,,20,,31,,21,,32,,,,DE (1 )
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,5,,-,,-,0,,9,,8,,23,,10,,1,,
Paratyphoid fever¶¶,2018,5,,-,1,,,NA,,NA,,NA,,NA,,NA,,NA,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,5,,-,,-,,-,,-,,-,,-,,-,,-,
Hansen's disease¶,2018,5,,-,1,,2,,67,,78,,89,,88,,81,,
"Botulism, infant",2018,5,1,,7,,2,,104,,144,,138,,127,,136,,TX (1 )
Plague,2018,5,,-,,-,,-,1,,4,,16,,10,,4,,
"Polio virus Infection, nonparalytic¶",2018,5,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever¶, chronic",2018,5,1,,1,,0,,35,,32,,34,,36,,33,,PA (1 )
"Meningococcal disease, Other serogroups",2018,5,1,,2,,1,,20,,21,,21,,25,,17,,TX (1 )
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,5,,-,2,,4,,118,,247,,896,,,NN,,NN,
"Q fever¶, total",2018,5,2,,5,,2,,142,,164,,156,,168,,170,,
"Influenza-associated pediatric mortality¶,**",2018,5,10,,51,,6,,110,,82,,130,,141,,160,,"PA (1 ), IN (1 ), MI (1 ), GA (1 ), KY (1 ), TN (2 ), WA (1 ), CA (2 )"
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,5,,-,11,,5,,133,,196,,175,,128,,141,,
Psittacosis¶,2018,5,,-,,-,0,,6,,12,,4,,8,,6,,
Listeriosis,2018,5,1,,19,,8,,773,,786,,768,,769,,735,,FL (1 )
Measles††,2018,5,,-,8,,7,,122,,85,,188,,667,,187,,
Toxic-shock syndrome (other than Streptococcal)¶,2018,5,,-,,-,1,,23,,40,,64,,59,,71,,
Cholera,2018,5,,-,,-,0,,4,,15,,5,,5,,14,,
"Viral hemorrhagic fevers***, Machupo virus",2018,5,,-,,-,,-,,-,,-,,-,,NP,,NP,
Novel Influenza A virus infections§§,2018,5,,-,,-,0,,67,,23,,7,,3,,21,,
"Viral hemorrhagic fevers***, Junin virus",2018,5,,-,,-,,-,,-,,-,,-,,NP,,NP,
Chancroid,2018,5,,-,,-,0,,8,,11,,11,,,-,,-,
Tularemia,2018,5,,-,1,,0,,226,,230,,314,,180,,203,,
"Viral hemorrhagic fever***, Marburg virus",2018,5,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,5,,-,,-,0,,66,,15,,11,,11,,22,,
Vancomycin-resistant Staphylococcus aureus¶,2018,5,,-,,-,0,,,-,,-,3,,,-,,-,
Diphtheria,2018,5,,-,,-,,-,,-,,-,,-,1,,,-,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,5,7,,25,,5,,252,,187,,167,,39,,34,,"NYC (1 ), PA (1 ), FL (3 ), KY (1 ), AZ (1 )"
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,5,,-,,-,,-,,-,6,,3,,,NN,,NN,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,5,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Meningococcal disease, Serogroups ACWY",2018,5,1,,7,,2,,72,,126,,120,,123,,142,,TX (1 )
"Q fever¶, acute",2018,5,1,,4,,2,,107,,132,,122,,132,,137,,MD (1 )
"Syphilis, congenital",2018,5,,-,20,,11,,674,,633,,493,,458,,348,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,5,,-,,-,,-,47,,35,,55,,80,,85,,
Cyclosporiasis¶,2018,5,,-,1,,1,,1099,,535,,645,,388,,784,,
"Botulism, other (wound and unspecified)",2018,5,,-,,-,0,,14,,26,,20,,19,,12,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,5,,-,,-,0,,3,,7,,6,,8,,8,,
Brucellosis,2018,5,,-,1,,1,,121,,127,,126,,92,,99,,
Anthrax,2018,5,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, foodborne",2018,5,,-,,-,0,,18,,31,,37,,15,,4,,
Trichinellosis¶,2018,5,,-,,-,0,,8,,26,,14,,14,,22,,
"Hepatitis B, perinatal infection",2018,5,,-,,-,1,,23,,34,,37,,47,,48,,
Vancomycin-intermediate Staphylococcus aureus¶,2018,5,,-,3,,3,,92,,108,,183,,212,,248,,
Smallpox,2018,5,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2018,5,1,,7,,3,,136,,201,,195,,161,,152,,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,5,,-,3,,3,,291,,307,,274,,250,,329,,
"Viral hemorrhagic fevers***, Lujo virus",2018,5,,-,,-,,-,,-,,-,,-,,NP,,NP,
Tularemia,2018,6,,-,1,,1,,220,,230,,314,,180,,203,,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,5,,-,1,,0,,25,,30,,29,,40,,31,,
Brucellosis,2018,6,,-,2,,1,,123,,127,,126,,92,,99,,
"Q fever¶, chronic",2018,6,,-,,-,0,,35,,32,,34,,36,,33,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,6,,-,2,,3,,127,,247,,896,,,NN,,NN,
"Viral hemorrhagic fever***, Marburg virus",2018,6,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Hepatitis B, perinatal infection",2018,6,,-,,-,1,,25,,34,,37,,47,,48,,
"Botulism, other (wound and unspecified)",2018,6,,-,,-,0,,14,,26,,20,,19,,12,,
"Botulism, infant",2018,6,1,,8,,2,,104,,144,,138,,127,,136,,WA (1 )
"Viral hemorrhagic fevers***, Ebola virus ",2018,6,,-,,-,,-,,-,,-,,-,4,,,NP,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,6,3,,12,,2,,146,,159,,135,,266,,233,,"KY (1 ), MS (1 ), NM (1 )"
"Viral hemorrhagic fevers***, Machupo virus",2018,6,,-,,-,,-,,-,,-,,-,,NP,,NP,
Vancomycin-resistant Staphylococcus aureus¶,2018,6,,-,,-,0,,,-,,-,3,,,-,,-,
"Rabies, human",2018,6,,-,1,,,-,2,,,-,2,,1,,2,,
Measles††,2018,6,,-,10,,6,,122,,85,,188,,667,,187,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,6,,-,,-,,-,3,,7,,6,,8,,8,,
"Meningococcal disease, Other serogroups",2018,6,,-,2,,1,,20,,21,,21,,25,,17,,
"Viral hemorrhagic fevers***, Junin virus",2018,6,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Viral hemorrhagic fevers***, Lujo virus",2018,6,,-,,-,,-,,-,,-,,-,,NP,,NP,
Toxic-shock syndrome (other than Streptococcal)¶,2018,6,,-,,-,1,,23,,40,,64,,59,,71,,
Anthrax,2018,6,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis¶,2018,6,,-,,-,0,,6,,12,,4,,8,,6,,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,6,1,,4,,3,,292,,307,,274,,250,,329,,NE (1 )
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,6,,-,,-,,-,33,,22,,7,,8,,12,,
"Viral hemorrhagic fevers***, Guanarito virus",2018,6,,-,,-,,-,,-,,-,,-,,NP,,NP,
Smallpox,2018,6,,-,,-,,-,,-,,-,,-,,-,,-,
"Meningococcal disease, Serogroups ACWY",2018,6,1,,10,,2,,73,,126,,120,,123,,142,,WA (1 )
Novel Influenza A virus infections§§,2018,6,,-,,-,,-,67,,23,,7,,3,,21,,
Streptococcal toxic-shock syndrome¶,2018,6,2,,22,,7,,331,,283,,335,,259,,224,,"ME (1 ), VA (1 )"
Trichinellosis¶,2018,6,,-,,-,0,,8,,26,,14,,14,,22,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,6,,-,,-,,-,67,,15,,11,,11,,22,,
"Influenza-associated pediatric mortality¶,**",2018,6,22,,73,,6,,110,,82,,130,,141,,160,,"NYC (3 ), IN (2 ), IL (2 ), MN (2 ), KS (1 ), MD (1 ), WV (1 ), FL (1 ), AL (2 ), AR (1 ), LA (1 ), CA (1 ), NC (3), VA (1)"
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,6,1,,12,,5,,133,,196,,175,,128,,141,,OH (1 )
Leptospirosis¶,2018,6,,-,4,,0,,55,,78,,40,,38,,,NN,
Hansen's disease¶,2018,6,,-,2,,2,,69,,78,,89,,88,,81,,
Diphtheria,2018,6,,-,,-,,-,,-,,-,,-,1,,,-,
"Botulism, total",2018,6,1,,8,,3,,136,,201,,195,,161,,152,,
"Viral hemorrhagic fever***, Sabia virus",2018,6,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,6,,-,,-,,-,47,,35,,55,,80,,85,,
Paratyphoid fever¶¶,2018,6,,-,1,,,NA,,NA,,NA,,NA,,NA,,NA,
"Poliomyelitis, paralytic",2018,6,,-,,-,,-,,-,,-,,-,,-,1,,
Yellow fever,2018,6,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,6,1,,2,,0,,25,,30,,29,,40,,31,,WA (1 )
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,6,,-,,-,,-,,-,,-,,-,,-,,-,
Hantavirus pulmonary syndrome¶ ,2018,6,,-,2,,0,,21,,31,,21,,32,,21,,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,6,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Meningococcal disease, Serogroup B",2018,6,,-,4,,2,,68,,86,,111,,89,,99,,
Listeriosis,2018,6,2,,24,,8,,786,,786,,768,,769,,735,,"ME (1 ), PA (1 )"
Typhoid fever ,2018,6,1,,22,,7,,318,,376,,367,,349,,338,,RI (1 )
Vancomycin-intermediate Staphylococcus aureus¶,2018,6,,-,3,,3,,92,,108,,183,,212,,248,,
Cyclosporiasis¶,2018,6,,-,2,,1,,1099,,535,,645,,388,,784,,
"Meningococcal disease, Unknown serogroup",2018,6,1,,24,,5,,187,,142,,120,,196,,298,,TX (1 )
Cholera,2018,6,,-,,-,0,,4,,15,,5,,5,,14,,
"Q fever¶, total",2018,6,,-,4,,2,,143,,164,,156,,168,,170,,
"Syphilis, congenital",2018,6,,-,29,,11,,690,,633,,493,,458,,348,,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,6,5,,35,,5,,252,,187,,167,,39,,34,,"NYC (1 ), OH (1 ), MO (1 ), AZ (1 ), WA (1 )"
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,6,,-,,-,0,,9,,8,,23,,10,,1,,
Plague,2018,6,,-,,-,,-,1,,4,,16,,10,,4,,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,6,,-,,-,,-,,-,6,,3,,,NN,,NN,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,6,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever¶, acute",2018,6,,-,4,,2,,108,,132,,122,,132,,137,,
"Viral hemorrhagic fevers***, Lassa virus",2018,6,,-,,-,,-,,-,,-,1,,1,,,NP,
Chancroid,2018,6,,-,,-,0,,8,,11,,11,,,-,,-,
"Botulism, foodborne",2018,6,,-,,-,0,,18,,31,,37,,15,,4,,
"Polio virus Infection, nonparalytic¶",2018,6,,-,,-,,-,,-,,-,,-,,-,,-,
Typhoid fever ,2018,7,2,,29,,7,,320,,376,,367,,349,,338,,"NY (1 ), OH (1 )"
Leptospirosis¶,2018,7,,-,7,,0,,55,,78,,40,,38,,,NN,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,7,,-,2,,1,,25,,30,,29,,40,,31,,
Paratyphoid fever¶¶,2018,7,,-,1,,,NA,,NA,,NA,,NA,,NA,,NA,
"Viral hemorrhagic fevers***, Lujo virus",2018,7,,-,,-,,-,,-,,-,,-,,NP,,NP,
Measles††,2018,7,1,,11,,5,,122,,85,,188,,667,,187,,OK (1 )
"Botulism, infant",2018,7,2,,10,,2,,106,,144,,138,,127,,136,,"PA (1 ), VA (1 )"
Tularemia,2018,7,,-,1,,1,,215,,230,,314,,180,,203,,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,7,1,,15,,2,,149,,159,,135,,266,,233,,MA (1 )
"Poliomyelitis, paralytic",2018,7,,-,,-,,-,,-,,-,,-,,-,1,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,7,,-,,-,,-,33,,22,,7,,8,,12,,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,7,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Q fever¶, chronic",2018,7,,-,,-,1,,35,,32,,34,,36,,33,,
Psittacosis¶,2018,7,,-,,-,0,,6,,12,,4,,8,,6,,
"Q fever¶, total",2018,7,,-,4,,2,,141,,164,,156,,168,,170,,
"Viral hemorrhagic fever***, Marburg virus",2018,7,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Viral hemorrhagic fevers***, Lassa virus",2018,7,,-,,-,,-,,-,,-,1,,1,,,NP,
Anthrax,2018,7,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome¶,2018,7,1,,38,,7,,334,,283,,335,,259,,224,,VA (1 )
Smallpox,2018,7,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever***, Sabia virus",2018,7,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Botulism, other (wound and unspecified)",2018,7,,-,,-,0,,12,,26,,20,,19,,12,,
Cyclosporiasis¶,2018,7,,-,2,,1,,1089,,535,,645,,388,,784,,
Toxic-shock syndrome (other than Streptococcal)¶,2018,7,,-,,-,1,,24,,40,,64,,59,,71,,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,7,,-,4,,3,,283,,307,,274,,250,,329,,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,7,,-,,-,0,,,-,6,,3,,,NN,,NN,
"Viral hemorrhagic fevers***, Ebola virus ",2018,7,,-,,-,,-,,-,,-,,-,4,,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,7,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,7,,-,,-,,-,47,,35,,55,,80,,85,,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,7,2,,39,,5,,248,,187,,167,,39,,34,,"GA (1 ), ID (1 )"
Vancomycin-resistant Staphylococcus aureus¶,2018,7,,-,,-,0,,,-,,-,3,,,-,,-,
"Viral hemorrhagic fevers***, Machupo virus",2018,7,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Botulism, total",2018,7,2,,10,,3,,135,,201,,195,,161,,152,,
"Meningococcal disease, Other serogroups",2018,7,,-,2,,1,,20,,21,,21,,25,,17,,
"Influenza-associated pediatric mortality¶,**",2018,7,13,,86,,6,,110,,82,,130,,141,,160,,"MA (1 ), NYC (1 ), NJ (1 ), OH (1 ), MI (1 ), MN (1 ), SC (1 ), GA (2 ), TN (2 ), OK (1 ), TX (1 )"
"Syphilis, congenital",2018,7,,-,36,,10,,704,,633,,493,,458,,348,,
Diphtheria,2018,7,,-,,-,,-,,-,,-,,-,1,,,-,
"Botulism, foodborne",2018,7,,-,,-,0,,17,,31,,37,,15,,4,,
"Meningococcal disease, Unknown serogroup",2018,7,2,,32,,5,,183,,142,,120,,196,,298,,"OH (1 ), FL (1 )"
"Meningococcal disease, Serogroup B",2018,7,,-,4,,2,,68,,86,,111,,89,,99,,
Anthrax,2018,8,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,7,1,,14,,5,,137,,196,,175,,128,,141,,LA (1 )
"Rabies, human",2018,7,,-,,-,,-,2,,,-,2,,1,,2,,
"Meningococcal disease, Serogroups ACWY",2018,7,,-,11,,2,,78,,126,,120,,123,,142,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,7,,-,,-,,-,69,,15,,11,,11,,22,,
"Hepatitis B, perinatal infection",2018,7,,-,,-,1,,27,,34,,37,,47,,48,,
Vancomycin-intermediate Staphylococcus aureus¶,2018,7,,-,4,,3,,93,,108,,183,,212,,248,,
"Q fever¶, acute",2018,7,,-,4,,2,,106,,132,,122,,132,,137,,
Brucellosis,2018,7,,-,2,,2,,123,,127,,126,,92,,99,,
Novel Influenza A virus infections§§,2018,7,,-,,-,,-,67,,23,,7,,3,,21,,
Cholera,2018,7,,-,,-,0,,4,,15,,5,,5,,14,,
Chancroid,2018,7,,-,,-,0,,8,,11,,11,,,-,,-,
Plague,2018,7,,-,,-,,-,1,,4,,16,,10,,4,,
"Viral hemorrhagic fevers***, Junin virus",2018,7,,-,,-,,-,,-,,-,,-,,NP,,NP,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,7,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fevers***, Guanarito virus",2018,7,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,7,,-,,-,0,,9,,8,,23,,10,,1,,
"Polio virus Infection, nonparalytic¶",2018,7,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,7,,-,3,,3,,127,,247,,896,,,NN,,NN,
Listeriosis,2018,7,6,,36,,8,,795,,786,,768,,769,,735,,"OH (1 ), FL (3 ), TX (1 ), WA (1 )"
Trichinellosis¶,2018,7,,-,,-,0,,8,,26,,14,,14,,22,,
Yellow fever,2018,7,,-,,-,,-,,-,,-,,-,,-,,-,
Hansen's disease¶,2018,7,,-,3,,2,,70,,78,,89,,88,,81,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,7,,-,,-,,-,4,,7,,6,,8,,8,,
Hantavirus pulmonary syndrome¶ ,2018,7,,-,,-,0,,9,,31,,21,,32,,21,,
Leptospirosis¶,2018,8,,-,7,,0,,56,,78,,40,,38,,,NN,
"Meningococcal disease, Unknown serogroup",2018,8,1,,34,,4,,185,,142,,120,,196,,298,,FL (1 )
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,8,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Q fever¶, acute",2018,8,,-,5,,2,,109,,132,,122,,132,,137,,
"Viral hemorrhagic fever***, Marburg virus",2018,8,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,8,,-,,-,0,,4,,7,,6,,8,,8,,
Brucellosis,2018,8,1,,3,,2,,125,,127,,126,,92,,99,,MO (1 )
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,8,,-,,-,,-,69,,15,,11,,11,,22,,
Streptococcal toxic-shock syndrome¶,2018,8,,-,38,,8,,334,,283,,335,,259,,224,,
Chancroid,2018,8,,-,,-,0,,8,,11,,11,,,-,,-,
Novel Influenza A virus infections§§,2018,8,,-,,-,,-,67,,23,,7,,3,,21,,
"Meningococcal disease, Serogroup B",2018,8,1,,6,,3,,69,,86,,111,,89,,99,,OH (1 )
Plague,2018,8,,-,,-,,-,1,,4,,16,,10,,4,,
"Influenza-associated pediatric mortality¶,**",2018,8,17,,103,,6,,110,,82,,130,,141,,160,,"CT (2 ), NJ (1 ), PA (2 ), IN (1 ), IL (1 ), MN (1 ), SC (1 ), TN (2 ), MS (1 ), LA (1 ), TX (2 ), CA (2 )"
"Meningococcal disease, Serogroups ACWY",2018,8,1,,14,,2,,78,,126,,120,,123,,142,,OH (1 )
Yellow fever,2018,8,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis¶,2018,8,,-,,-,0,,7,,12,,4,,8,,6,,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,8,1,,42,,4,,248,,187,,167,,39,,34,,WA (1 )
"Botulism, other (wound and unspecified)",2018,8,,-,,-,0,,14,,26,,20,,19,,12,,
Vancomycin-resistant Staphylococcus aureus¶,2018,8,,-,,-,0,,,-,,-,3,,,-,,-,
Measles††,2018,8,,-,11,,4,,122,,85,,188,,667,,187,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,8,,-,,-,0,,47,,35,,55,,80,,85,,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,8,,-,,-,0,,,-,6,,3,,,NN,,NN,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,8,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2018,8,2,,15,,3,,148,,201,,195,,161,,152,,
"Meningococcal disease, Other serogroups",2018,8,,-,2,,1,,20,,21,,21,,25,,17,,
Hantavirus pulmonary syndrome¶ ,2018,8,,-,1,,0,,12,,31,,21,,32,,21,,
"Polio virus Infection, nonparalytic¶",2018,8,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,8,,-,,-,0,,10,,8,,23,,10,,1,,
"Rabies, human",2018,8,,-,1,,,-,2,,,-,2,,1,,2,,
Smallpox,2018,8,,-,,-,,-,,-,,-,,-,,-,,-,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,8,,-,4,,3,,293,,307,,274,,250,,329,,
"Hepatitis B, perinatal infection",2018,8,,-,2,,1,,27,,34,,37,,47,,48,,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,8,1,,18,,5,,137,,196,,175,,128,,141,,OR (1 )
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,8,1,,17,,3,,149,,159,,135,,266,,233,,AZ (1 )
"Viral hemorrhagic fevers***, Junin virus",2018,8,,-,,-,,-,,-,,-,,-,,NP,,NP,
Listeriosis,2018,8,4,,44,,9,,798,,786,,768,,769,,735,,"NYC (1 ), OH (1 ), FL (1 ), MS (1 )"
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,8,,-,3,,3,,129,,247,,896,,,NN,,NN,
Paratyphoid fever¶¶,2018,8,,-,1,,,NA,,NA,,NA,,NA,,NA,,NA,
"Viral hemorrhagic fevers***, Lassa virus",2018,8,,-,,-,,-,,-,,-,1,,1,,,NP,
Typhoid fever ,2018,8,,-,30,,7,,360,,376,,367,,349,,338,,
"Botulism, foodborne",2018,8,1,,1,,0,,19,,31,,37,,15,,4,,WA (1 )
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,8,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, infant",2018,8,1,,14,,2,,115,,144,,138,,127,,136,,KY (1 )
"Poliomyelitis, paralytic",2018,8,,-,,-,,-,,-,,-,,-,,-,1,,
Tularemia,2018,8,,-,,-,1,,210,,230,,314,,180,,203,,
"Viral hemorrhagic fevers***, Guanarito virus",2018,8,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Viral hemorrhagic fevers***, Lujo virus",2018,8,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Viral hemorrhagic fever***, Sabia virus",2018,8,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Viral hemorrhagic fevers***, Ebola virus ",2018,8,,-,,-,,-,,-,,-,,-,4,,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,8,,-,,-,,-,33,,22,,7,,8,,12,,
Cyclosporiasis¶,2018,8,,-,3,,1,,1153,,535,,645,,388,,784,,
Trichinellosis¶,2018,8,,-,,-,0,,8,,26,,14,,14,,22,,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,8,,-,2,,1,,25,,30,,29,,40,,31,,
"Q fever¶, total",2018,8,,-,7,,2,,145,,164,,156,,168,,170,,
"Viral hemorrhagic fevers***, Machupo virus",2018,8,,-,,-,,-,,-,,-,,-,,NP,,NP,
Toxic-shock syndrome (other than Streptococcal)¶,2018,8,,-,,-,1,,25,,40,,64,,59,,71,,
Vancomycin-intermediate Staphylococcus aureus¶,2018,8,1,,5,,4,,97,,108,,183,,212,,248,,LA (1 )
Cholera,2018,8,,-,,-,0,,4,,15,,5,,5,,14,,
"Q fever¶, chronic",2018,8,,-,2,,1,,36,,32,,34,,36,,33,,
"Syphilis, congenital",2018,8,,-,44,,10,,717,,633,,493,,458,,348,,
Diphtheria,2018,8,,-,,-,,-,,-,,-,,-,1,,,-,
Hansen's disease¶,2018,8,,-,3,,1,,72,,78,,89,,88,,81,,
Streptococcal toxic-shock syndrome¶,2018,9,4,,47,,8,,336,,283,,335,,259,,224,,OH (4 )
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,9,,-,,-,0,,60,,35,,55,,80,,85,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,9,,-,,-,0,,4,,7,,6,,8,,8,,
"Viral hemorrhagic fever***, Marburg virus",2018,9,,-,,-,,-,,-,,-,,-,,NP,,NP,
