Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2014,"Cum 2014, flag",5-year weekly average†,"5-year weekly average†, flag",Total cases reported  2013,"Total cases reported  2013, flag",Total cases reported 2012,"Total cases reported 2012, flag",Total cases reported 2011,"Total cases reported 2011, flag",Total cases reported 2010,"Total cases reported 2010, flag",Total cases reported 2009,"Total cases reported 2009, flag",States reporting cases during current week (No.) 
"Arboviral diseases, Powassan virus disease§,¶",2014,6,,-,,-,,-,13,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,6,,-,,-,,-,,-,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,6,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,6,,-,10,,2,,141,,168,,153,,112,,118,,
"Botulism, foodborne",2014,6,,-,,-,0,,5,,27,,24,,7,,10,,
"Botulism, infant",2014,6,,-,6,,2,,122,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,6,,-,4,,0,,14,,18,,32,,25,,25,,
Brucellosis,2014,6,1,,6,,1,,106,,114,,79,,115,,115,,CA (1 )
Chancroid,2014,6,2,,3,,0,,11,,15,,8,,24,,28,,"NC (1 ), CA (1 )"
Cholera,2014,6,,-,,-,0,,2,,17,,40,,13,,10,,
Cyclosporiasis§,2014,6,,-,3,,2,,668,,123,,151,,179,,141,,
Diphtheria,2014,6,,-,,-,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,6,,-,1,,1,,22,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,6,,-,16,,5,,188,,205,,145,,200,,236,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,6,5,,37,,5,,209,,210,,226,,223,,178,,"OH (1 ), MI (1 ), WI (1 ), MO (1 ), NC (1 )"
Hansen disease§,2014,6,,-,1,,2,,64,,82,,82,,98,,103,,
Hantavirus pulmonary syndrome§,2014,6,1,,2,,0,,13,,30,,23,,20,,20,,CA (1 )
"Hemolytic uremic syndrome, postdiarrheal§",2014,6,1,,4,,2,,233,,274,,290,,266,,242,,NC (1 )
"Hepatitis B, virus infection perinatal",2014,6,1,,5,,1,,51,,40,,,U,,U,,U,VA (1 )
"Influenza-associated pediatric mortality§,††",2014,6,10,,41,,5,,164,,52,,118,,61,,358,,"PA (1 ), MI (1 ), KS (1 ), NC (2 ), LA (2 ), NV (1 ), AZ (1 ), NE (1 )"
Leptospirosis,2014,6,,-,,-,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,6,5,,46,,9,,715,,727,,870,,821,,851,,"PA (1 ), WV (1 ), WA (1 ), CA (2 )"
Measles§§,2014,6,2,,20,,2,,187,,55,,220,,63,,71,,"NY (1 ), TX (1 )"
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,6,,-,13,,5,,120,,161,,257,,280,,301,,
"Meningococcal disease, invasive¶¶, serogroup B",2014,6,,-,2,,3,,78,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,6,,-,2,,0,,14,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,6,6,,29,,9,,308,,260,,323,,406,,482,,"NYC (1 ), PA (1 ), MI (1 ), MO (1 ), FL (1 ), OR (1 )"
Novel influenza A virus infections***,2014,6,,-,,-,31,,21,,313,,14,,4,,43774,,
Plague,2014,6,,-,,-,,-,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,6,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,6,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,6,,-,,-,0,,7,,2,,2,,4,,9,,
"Q fever, total§",2014,6,,-,4,,2,,151,,135,,134,,131,,113,,
"Q fever, acute",2014,6,,-,4,,2,,117,,113,,110,,106,,93,,
"Q fever, chronic",2014,6,,-,,-,0,,34,,22,,24,,25,,20,,
"Rabies, human",2014,6,,-,,-,,-,,-,1,,6,,2,,4,,
Rubella†††,2014,6,,-,1,,0,,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,6,,-,,-,0,,,-,3,,,-,,-,2,,
SARS-CoV§,2014,6,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,6,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,6,,-,8,,5,,139,,194,,168,,142,,161,,
"Syphilis, congenital (age <1 yr)§§§",2014,6,,-,2,,8,,193,,322,,360,,377,,423,,
Tetanus,2014,6,1,,2,,1,,23,,37,,36,,26,,18,,CA (1 )
Toxic-shock syndrome (staphylococcal)§,2014,6,,-,3,,2,,67,,65,,78,,82,,74,,
Trichinellosis,2014,6,,-,,-,1,,19,,18,,15,,7,,13,,
Tularemia,2014,6,,-,,-,0,,197,,149,,166,,124,,93,,
Typhoid fever,2014,6,4,,15,,7,,335,,354,,390,,467,,397,,"NY (1 ), NC (1 ), CA (2 )"
Vancomycin-intermediate Staphylococcus aureus§,2014,6,,-,6,,1,,212,,134,,82,,91,,78,,
Vancomycin-resistant Staphylococcus aureus§,2014,6,,-,,-,,-,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,6,4,,25,,4,,1161,,1111,,832,,846,,789,,"MD (1 ), CA (3 )"
Viral hemorrhagic fever¶¶¶,2014,6,,-,,-,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,6,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,7,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,7,,-,,-,0,,83,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,7,,-,,-,,-,6,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,7,,-,,-,,-,13,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,7,,-,,-,,-,,-,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,7,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,7,2,,15,,2,,144,,168,,153,,112,,118,,
"Botulism, foodborne",2014,7,,-,,-,0,,6,,27,,24,,7,,10,,
"Botulism, infant",2014,7,,-,9,,2,,122,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,7,2,,6,,0,,16,,18,,32,,25,,25,,CA (2 )
Brucellosis,2014,7,1,,7,,1,,107,,114,,79,,115,,115,,FL (1 )
Chancroid,2014,7,1,,3,,0,,10,,15,,8,,24,,28,,CA (1 )
Cholera,2014,7,,-,,-,0,,2,,17,,40,,13,,10,,
Cyclosporiasis§,2014,7,2,,5,,1,,671,,123,,151,,179,,141,,"NYC (1 ), FL (1 )"
Diphtheria,2014,7,,-,,-,0,,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,7,1,,2,,1,,22,,30,,14,,23,,35,,TX (1 )
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,7,1,,21,,6,,189,,205,,145,,200,,236,,NM (1 )
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,7,3,,43,,5,,210,,210,,226,,223,,178,,"NYC (1 ), CA (1 ), AK (1 )"
Hansen disease§,2014,7,,-,1,,2,,64,,82,,82,,98,,103,,
Hantavirus pulmonary syndrome§,2014,7,,-,1,,0,,13,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,7,2,,7,,2,,233,,274,,290,,266,,242,,"MO (1 ), FL (1 )"
"Hepatitis B, virus infection perinatal",2014,7,,-,5,,1,,50,,40,,,U,,U,,U,
"Influenza-associated pediatric mortality§,††",2014,7,2,,43,,5,,164,,52,,118,,61,,358,,"UT (1 ), MA (1 )"
Leptospirosis,2014,7,,-,,-,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,7,5,,53,,9,,722,,727,,870,,821,,851,,"PA (1 ), TX (1 ), CA (3 )"
Measles§§,2014,7,2,,24,,2,,187,,55,,220,,63,,71,,NY (2 )
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,7,1,,15,,5,,120,,161,,257,,280,,301,,MT (1 )
"Meningococcal disease, invasive¶¶, serogroup B",2014,7,,-,6,,4,,78,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,7,1,,3,,0,,14,,20,,20,,12,,23,,TX (1 )
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,7,1,,34,,8,,307,,260,,323,,406,,482,,CA (1 )
Novel influenza A virus infections***,2014,7,,-,,-,22,,21,,313,,14,,4,,43774,,
Plague,2014,7,,-,,-,,-,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,7,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,7,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,7,1,,1,,0,,7,,2,,2,,4,,9,,MD (1 )
"Q fever, total§",2014,7,,-,5,,2,,152,,135,,134,,131,,113,,
"Q fever, acute",2014,7,,-,5,,2,,118,,113,,110,,106,,93,,
"Q fever, chronic",2014,7,,-,,-,0,,34,,22,,24,,25,,20,,
"Rabies, human",2014,7,,-,,-,,-,,-,1,,6,,2,,4,,
Rubella†††,2014,7,,-,1,,0,,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,7,,-,,-,0,,,-,3,,,-,,-,2,,
SARS-CoV§,2014,7,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,7,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,7,1,,9,,5,,139,,194,,168,,142,,161,,OH (1 )
"Syphilis, congenital (age <1 yr)§§§",2014,7,,-,2,,8,,200,,322,,360,,377,,423,,
Tetanus,2014,7,1,,3,,0,,23,,37,,36,,26,,18,,FL (1 )
Toxic-shock syndrome (staphylococcal)§,2014,7,,-,4,,2,,67,,65,,78,,82,,74,,
Trichinellosis,2014,7,,-,,-,1,,19,,18,,15,,7,,13,,
Tularemia,2014,7,,-,,-,0,,198,,149,,166,,124,,93,,
Typhoid fever,2014,7,2,,22,,8,,340,,354,,390,,467,,397,,NYC (2 )
Vancomycin-intermediate Staphylococcus aureus§,2014,7,4,,13,,2,,212,,134,,82,,91,,78,,"NY (1 ), OH (2 ), MO (1 )"
Vancomycin-resistant Staphylococcus aureus§,2014,7,,-,,-,,-,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,7,5,,33,,5,,1200,,1111,,832,,846,,789,,"FL (3 ), TN (1 ), CA (1 )"
Viral hemorrhagic fever¶¶¶,2014,7,,-,,-,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,7,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,8,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,8,,-,,-,0,,83,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,8,,-,,-,0,,6,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,8,,-,,-,,-,13,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,8,,-,,-,,-,,-,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,8,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,8,1,,16,,3,,145,,168,,153,,112,,118,,
"Botulism, foodborne",2014,8,,-,,-,0,,6,,27,,24,,7,,10,,
"Botulism, infant",2014,8,1,,10,,2,,123,,123,,97,,80,,83,,DE (1 )
"Botulism, other (wound and unspecified)",2014,8,,-,6,,0,,16,,18,,32,,25,,25,,
Brucellosis,2014,8,,-,5,,1,,107,,114,,79,,115,,115,,
Chancroid,2014,8,,-,4,,0,,10,,15,,8,,24,,28,,
Cholera,2014,8,,-,,-,0,,2,,17,,40,,13,,10,,
Cyclosporiasis§,2014,8,1,,6,,1,,673,,123,,151,,179,,141,,NYC (1 )
Diphtheria,2014,8,,-,,-,0,,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,8,,-,2,,1,,22,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,8,,-,24,,5,,191,,205,,145,,200,,236,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,8,3,,49,,5,,213,,210,,226,,223,,178,,"NC (2 ), AK (1 )"
Hansen disease§,2014,8,,-,1,,2,,64,,82,,82,,98,,103,,
Hantavirus pulmonary syndrome§,2014,8,,-,2,,0,,14,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,8,,-,8,,2,,233,,274,,290,,266,,242,,
"Hepatitis B, virus infection perinatal",2014,8,,-,5,,1,,52,,40,,,U,,U,,U,
"Influenza-associated pediatric mortality§,††",2014,8,9,,52,,4,,164,,52,,118,,61,,358,,"KS (1 ), WV (1 ), NC (2 ), SC (2 ), TX (1 ), CA (2 )"
Leptospirosis,2014,8,,-,,-,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,8,3,,58,,10,,726,,727,,870,,821,,851,,NYC (3 )
Measles§§,2014,8,1,,28,,2,,187,,55,,220,,63,,71,,NY (1 )
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,8,2,,17,,6,,120,,161,,257,,280,,301,,NC (2 )
"Meningococcal disease, invasive¶¶, serogroup B",2014,8,,-,6,,4,,77,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,8,,-,3,,0,,14,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,8,3,,39,,8,,307,,260,,323,,406,,482,,"OH (2 ), FL (1 )"
Novel influenza A virus infections***,2014,8,,-,,-,21,,21,,313,,14,,4,,43774,,
Plague,2014,8,,-,,-,,-,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,8,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,8,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,8,,-,1,,0,,7,,2,,2,,4,,9,,
"Q fever, total§",2014,8,2,,7,,2,,153,,135,,134,,131,,113,,
"Q fever, acute",2014,8,2,,7,,2,,119,,113,,110,,106,,93,,"OH (1 ), NC (1 )"
"Q fever, chronic",2014,8,,-,,-,0,,34,,22,,24,,25,,20,,
"Rabies, human",2014,8,,-,,-,,-,,-,1,,6,,2,,4,,
Rubella†††,2014,8,,-,,-,0,,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,8,,-,,-,0,,1,,3,,,-,,-,2,,
SARS-CoV§,2014,8,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,8,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,8,2,,13,,5,,140,,194,,168,,142,,161,,"MA (1 ), MD (1 )"
"Syphilis, congenital (age <1 yr)§§§",2014,8,,-,8,,8,,212,,322,,360,,377,,423,,
Tetanus,2014,8,,-,3,,0,,24,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,8,,-,6,,2,,67,,65,,78,,82,,74,,
Trichinellosis,2014,8,,-,,-,1,,19,,18,,15,,7,,13,,
Tularemia,2014,8,,-,,-,0,,199,,149,,166,,124,,93,,
Typhoid fever,2014,8,4,,27,,7,,340,,354,,390,,467,,397,,"NYC (2 ), OH (1 ), MD (1 )"
Trichinellosis,2014,10,,-,1,,0,,20,,18,,15,,7,,13,,
Vancomycin-intermediate Staphylococcus aureus§,2014,8,,-,14,,2,,212,,134,,82,,91,,78,,
Vancomycin-resistant Staphylococcus aureus§,2014,8,,-,,-,,-,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,8,2,,40,,5,,1208,,1111,,832,,846,,789,,"FL (1 ), TX (1 )"
Viral hemorrhagic fever¶¶¶,2014,8,,-,,-,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,8,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,9,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,9,,-,,-,0,,83,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,9,,-,,-,0,,6,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,9,,-,,-,,-,14,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,9,,-,,-,,-,,-,3,,6,,10,,12,,
Tetanus,2014,9,,-,3,,0,,24,,37,,36,,26,,18,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,9,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,9,,-,21,,3,,148,,168,,153,,112,,118,,
"Botulism, foodborne",2014,9,,-,,-,0,,7,,27,,24,,7,,10,,
"Botulism, infant",2014,9,,-,15,,2,,125,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,9,,-,6,,0,,16,,18,,32,,25,,25,,
Brucellosis,2014,9,,-,6,,1,,114,,114,,79,,115,,115,,
Chancroid,2014,9,,-,4,,0,,10,,15,,8,,24,,28,,
Cholera,2014,9,,-,,-,0,,2,,17,,40,,13,,10,,
Cyclosporiasis§,2014,9,,-,6,,1,,700,,123,,151,,179,,141,,
Diphtheria,2014,9,,-,,-,0,,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,9,1,,3,,1,,22,,30,,14,,23,,35,,WA (1 )
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,9,,-,28,,5,,194,,205,,145,,200,,236,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,9,4,,57,,5,,211,,210,,226,,223,,178,,"FL (2 ), TN (1 ), OK (1 )"
Hansen disease§,2014,9,,-,5,,2,,64,,82,,82,,98,,103,,
Hantavirus pulmonary syndrome§,2014,9,,-,2,,0,,14,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,9,,-,8,,3,,247,,274,,290,,266,,242,,
"Hepatitis B, virus infection perinatal",2014,9,,-,6,,1,,57,,40,,,U,,U,,U,
"Influenza-associated pediatric mortality§,††",2014,9,4,,56,,5,,164,,52,,118,,61,,358,,"IL (1 ), LA (1 ), TX (1 ), AR (1 )"
Leptospirosis,2014,9,,-,1,,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,9,5,,69,,10,,756,,727,,870,,821,,851,,"MO (1 ), NC (1 ), FL (1 ), TX (1 ), CA (1 )"
Measles§§,2014,9,3,,51,,2,,187,,55,,220,,63,,71,,"NY (1 ), NYC (1 ), CA (1 )"
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,9,3,,21,,6,,124,,161,,257,,280,,301,,"NC (1 ), WA (2 )"
"Meningococcal disease, invasive¶¶, serogroup B",2014,9,1,,7,,4,,79,,110,,159,,135,,174,,NC (1 )
"Meningococcal disease, invasive¶¶, other serogroup",2014,9,,-,3,,0,,14,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,9,6,,51,,8,,305,,260,,323,,406,,482,,"OH (1 ), VA (1 ), FL (1 ), TX (1 ), CA (2 )"
Novel influenza A virus infections***,2014,9,,-,,-,13,,21,,313,,14,,4,,43774,,
Plague,2014,9,,-,,-,,-,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,9,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,9,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,9,,-,1,,0,,7,,2,,2,,4,,9,,
"Q fever, total§",2014,9,1,,8,,2,,164,,135,,134,,131,,113,,
"Q fever, acute",2014,9,,-,7,,2,,127,,113,,110,,106,,93,,
"Q fever, chronic",2014,9,1,,1,,0,,37,,22,,24,,25,,20,,OH (1 )
"Rabies, human",2014,9,,-,,-,,-,,-,1,,6,,2,,4,,
Rubella†††,2014,9,,-,,-,0,,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,9,,-,,-,0,,1,,3,,,-,,-,2,,
SARS-CoV§,2014,9,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,9,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,9,3,,20,,5,,140,,194,,168,,142,,161,,"OH (1 ), MD (1 ), NC (1 )"
"Syphilis, congenital (age <1 yr)§§§",2014,9,,-,13,,8,,217,,322,,360,,377,,423,,
Toxic-shock syndrome (staphylococcal)§,2014,9,,-,10,,2,,69,,65,,78,,82,,74,,
Trichinellosis,2014,9,,-,,-,1,,19,,18,,15,,7,,13,,
Tularemia,2014,9,,-,,-,0,,202,,149,,166,,124,,93,,
Typhoid fever,2014,9,2,,28,,7,,345,,354,,390,,467,,397,,"MD (1 ), VA (1 )"
Vancomycin-intermediate Staphylococcus aureus§,2014,9,1,,22,,1,,218,,134,,82,,91,,78,,PA (1 )
Vancomycin-resistant Staphylococcus aureus§,2014,9,,-,,-,0,,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,9,3,,46,,5,,1238,,1111,,832,,846,,789,,"MD (1 ), OR (1 ), CA (1 )"
Viral hemorrhagic fever¶¶¶,2014,9,,-,,-,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,9,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,10,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,10,,-,,-,0,,84,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,10,,-,,-,0,,7,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,10,,-,,-,,-,14,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,10,,-,,-,,-,,-,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,10,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,10,1,,25,,3,,149,,168,,153,,112,,118,,
"Botulism, foodborne",2014,10,,-,,-,0,,7,,27,,24,,7,,10,,
"Botulism, infant",2014,10,1,,19,,2,,126,,123,,97,,80,,83,,AR (1 )
"Botulism, other (wound and unspecified)",2014,10,,-,6,,0,,16,,18,,32,,25,,25,,
Brucellosis,2014,10,,-,8,,2,,116,,114,,79,,115,,115,,
Chancroid,2014,10,,-,5,,0,,11,,15,,8,,24,,28,,
Cholera,2014,10,,-,,-,0,,2,,17,,40,,13,,10,,
Cyclosporiasis§,2014,10,8,,14,,1,,701,,123,,151,,179,,141,,"NYC (7 ), FL (1 )"
Diphtheria,2014,10,,-,,-,0,,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,10,,-,3,,1,,22,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,10,,-,32,,5,,194,,205,,145,,200,,236,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,10,7,,67,,5,,212,,210,,226,,223,,178,,"PA (2 ), OH (1 ), KS (1 ), NC (1 ), FL (1 ), MS (1 )"
Hansen disease§,2014,10,,-,5,,1,,74,,82,,82,,98,,103,,
Hantavirus pulmonary syndrome§,2014,10,,-,2,,0,,15,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,10,2,,10,,3,,253,,274,,290,,266,,242,,"ID (1 ), CA (1 )"
"Hepatitis B, virus infection perinatal",2014,10,,-,6,,1,,57,,40,,,U,,U,,U,
"Influenza-associated pediatric mortality§,††",2014,10,3,,59,,5,,164,,52,,118,,61,,358,,"ME (1 ), IL (1 ), MD (1 )"
Leptospirosis,2014,10,,-,1,,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,10,7,,80,,10,,756,,727,,870,,821,,851,,"NY (1 ), NYC (1 ), OH (1 ), MD (1 ), NC (2 ), CA (1 )"
Measles§§,2014,10,10,,71,,2,,187,,55,,220,,63,,71,,"NYC (1 ), CA (9 )"
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,10,1,,24,,6,,125,,161,,257,,280,,301,,NC (1 )
"Meningococcal disease, invasive¶¶, serogroup B",2014,10,,-,8,,4,,85,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,10,,-,3,,0,,15,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,10,5,,58,,8,,305,,260,,323,,406,,482,,"NC (1 ), FL (1 ), TN (1 ), OR (1 ), CA (1 )"
Novel influenza A virus infections***,2014,10,,-,,-,15,,21,,313,,14,,4,,43774,,
Plague,2014,10,,-,,-,,-,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,10,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,10,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,10,,-,1,,0,,7,,2,,2,,4,,9,,
"Q fever, total§",2014,10,,-,10,,2,,167,,135,,134,,131,,113,,
"Q fever, acute",2014,10,,-,7,,1,,130,,113,,110,,106,,93,,
"Q fever, chronic",2014,10,,-,3,,1,,37,,22,,24,,25,,20,,
"Rabies, human",2014,10,,-,,-,,-,,-,1,,6,,2,,4,,
Rubella†††,2014,10,,-,,-,0,,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,10,,-,,-,0,,1,,3,,,-,,-,2,,
SARS-CoV§,2014,10,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,10,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,10,2,,23,,5,,140,,194,,168,,142,,161,,OH (2 )
"Syphilis, congenital (age <1 yr)§§§",2014,10,,-,13,,7,,217,,322,,360,,377,,423,,
Tetanus,2014,10,,-,3,,0,,24,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,10,1,,11,,1,,69,,65,,78,,82,,74,,TN (1 )
Tularemia,2014,10,1,,1,,0,,202,,149,,166,,124,,93,,AK (1 )
Typhoid fever,2014,10,,-,30,,7,,352,,354,,390,,467,,397,,
Vancomycin-intermediate Staphylococcus aureus§,2014,10,5,,30,,2,,223,,134,,82,,91,,78,,"NY (1 ), MO (3 ), NC (1 )"
Vancomycin-resistant Staphylococcus aureus§,2014,10,,-,,-,0,,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,10,5,,56,,6,,1238,,1111,,832,,846,,789,,"ME (1 ), OH (1 ), NC (1 ), FL (2 )"
Viral hemorrhagic fever¶¶¶,2014,10,,-,,-,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,10,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,11,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,11,,-,,-,0,,84,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,11,,-,,-,0,,7,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,11,,-,,-,,-,14,,7,,16,,8,,6,,
